category,delivery_time,name,no_of_reviews,price,rating
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Cancer,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Aquarius,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",6x6 Custom Wood Print, 2 reviews ,Rs. 699.00,Average rating is 5.00 stars
/workplace,"(None,)",Desk Name Plate With Led Light, No reviews ,"Rs. 1,199.00",Average rating is 0.00 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Cover Libra Zodiac Sign Engraved and Crafted, 5 reviews ,Rs. 499.00,Average rating is 4.80 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Cover Sagittarius Zodiac Sign Engraved and Crafted, 4 reviews ,Rs. 499.00,Average rating is 4.75 stars
/workplace,"(None,)",Wooden Cover Virgo Zodiac Sign Engraved and Crafted,"(None,)",Rs. 499.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",ChitraChaya Zodiac Sign Gemini Diary Notebook Wooden Cover, 3 reviews ,Rs. 499.00,Average rating is 4.67 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Put Beer Here","(None,)",Rs. 399.00 – Rs. 749.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Red Devils","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters Laser | Arsenal","(None,)",Rs. 399.00 – Rs. 699.00,"(None,)"
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","4""x4"" Wooden Coasters | Arsenal", 1 review ,Rs. 399.00 – Rs. 699.00,Average rating is 5.00 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Wooden Notebook Binder | Aries,"(None,)",Rs. 699.00,"(None,)"
/workplace,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",5x7 Custom Wood Print, 2 reviews ,Rs. 699.00,Average rating is 5.00 stars
/workplace,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Customised Flat Number Name Plate, 1 review ,Rs. 799.00,Average rating is 3.00 stars
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Photo With Name Fridge Magnets,"(None,)",Rs. 699.00,"(None,)"
/sports,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ","14""x11"" Handcrafted Wooden Crest | Real Madrid", 2 reviews ,"Rs. 1,499.00 – Rs. 1,699.00",Average rating is 5.00 stars
/home,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Couple with two kids name plate, 3 reviews ,"Rs. 1,999.00",Average rating is 5.00 stars
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Jungle Theme Kids Room Name Plate,"(None,)","Rs. 1,499.00","(None,)"
/kids,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Superhero Set of 6 Magnets,"(None,)",Rs. 649.00,"(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Kids Jungle Theme Name Sign,"(None,)","Rs. 1,499.00","(None,)"
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Great Indian Father Magnets,"(None,)",Rs. 599.00,"(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Kids Circular Jungle Theme 3D Name Plate with Lights,"(None,)","Rs. 1,799.00","(None,)"
/kids,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",Animal Theme Kids Name Sign,"(None,)","Rs. 1,099.00","(None,)"
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | My Hero,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Super Dad,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Best Father,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | I Love Dad,"(None,)","Rs. 699.00 – Rs. 1,999.00","(None,)"
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Fathers Day Frame Fridge Magnets - Set of 3, No reviews ,Rs. 999.00,Average rating is 0.00 stars
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Fathers Day Shaped Fridge Magnets - Set of 3, No reviews ,"Rs. 1,099.00",Average rating is 0.00 stars
/fathers-day,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Super Dad Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/gifts-for-brother,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | FCB Wooden Notebook Binder | COD Not Available,"(None,)",Rs. 899.00,"(None,)"
/love,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | Anniversary Special,"(None,)","Rs. 1,499.00 – Rs. 2,099.00","(None,)"
/love,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Personalised | I Love Us, 1 review ,"Rs. 699.00 – Rs. 1,499.00",Average rating is 5.00 stars
/love,"Delivered between 4-5 days for Delhi/NCR or 5-7 days for rest of India
                  ",ChitraChaya's Special Vector Art style | Single face | COD Not Available, 3 reviews ,"Rs. 2,399.00 – Rs. 2,999.00",Average rating is 5.00 stars
/love,"Delivered between 1-3 days for Delhi/NCR or 3-4 days for rest of India
                  ",Pet Caricature Magnet | One Face  | COD Not Available, No reviews ,Rs. 799.00,Average rating is 0.00 stars
